"X","Y","Z","Radius"
287.40,322.36,276.05,4.24
287.45,322.57,276.02,4.21
287.52,322.82,275.99,4.18
287.59,323.09,275.97,4.15
287.67,323.38,275.95,4.12
287.75,323.68,275.93,4.10
287.83,323.99,275.92,4.07
287.91,324.29,275.91,4.05
287.99,324.58,275.90,4.03
288.06,324.85,275.89,4.02
288.13,325.10,275.88,4.01
288.19,325.30,275.88,4.00
288.24,325.47,275.87,3.99
288.28,325.59,275.86,3.99
288.31,325.67,275.86,4.00
288.33,325.73,275.85,4.00
288.34,325.75,275.85,4.01
288.35,325.76,275.86,4.02
288.35,325.76,275.86,4.04
288.35,325.75,275.87,4.05
288.34,325.74,275.89,4.07
288.33,325.74,275.91,4.09
288.33,325.75,275.94,4.11
288.32,325.78,275.97,4.14
288.32,325.83,276.02,4.16
288.32,325.91,276.07,4.18
288.32,326.01,276.12,4.21
288.33,326.13,276.17,4.23
288.34,326.26,276.23,4.26
288.36,326.41,276.27,4.28
288.38,326.57,276.31,4.31
288.40,326.74,276.35,4.33
288.44,326.91,276.36,4.36
288.48,327.09,276.37,4.39
288.53,327.27,276.36,4.41
288.58,327.44,276.32,4.45
288.65,327.61,276.27,4.48
288.72,327.78,276.21,4.51
288.79,327.94,276.13,4.56
288.87,328.10,276.04,4.60
288.95,328.25,275.94,4.65
289.03,328.39,275.84,4.70
289.11,328.52,275.74,4.75
289.18,328.65,275.64,4.80
289.25,328.76,275.55,4.86
289.31,328.87,275.47,4.91
289.37,328.96,275.40,4.95
289.41,329.04,275.35,4.99
289.45,329.11,275.31,5.03
289.48,329.16,275.28,5.06
289.50,329.21,275.27,5.08
289.52,329.25,275.26,5.10
289.54,329.28,275.26,5.12
289.55,329.31,275.26,5.13
289.57,329.33,275.27,5.14
289.58,329.35,275.28,5.15
289.60,329.36,275.30,5.15
289.61,329.37,275.31,5.15
289.63,329.38,275.32,5.15
289.65,329.39,275.32,5.15
289.68,329.40,275.32,5.15
289.71,329.41,275.32,5.15
289.73,329.43,275.32,5.14
289.76,329.45,275.31,5.14
289.78,329.48,275.30,5.14
289.79,329.52,275.29,5.13
289.80,329.57,275.28,5.13
289.81,329.64,275.26,5.13
289.80,329.71,275.24,5.13
289.79,329.81,275.22,5.12
289.77,329.92,275.20,5.12
289.73,330.04,275.17,5.12
289.70,330.18,275.15,5.11
289.65,330.32,275.13,5.10
289.60,330.48,275.11,5.09
289.55,330.64,275.09,5.07
289.49,330.81,275.07,5.05
289.44,330.98,275.06,5.03
289.39,331.14,275.05,5.00
289.34,331.31,275.05,4.98
289.30,331.48,275.05,4.95
289.26,331.64,275.07,4.93
289.23,331.79,275.09,4.91
289.21,331.94,275.11,4.89
289.19,332.09,275.15,4.88
289.17,332.23,275.18,4.87
289.16,332.38,275.23,4.86
289.15,332.52,275.27,4.87
289.14,332.67,275.33,4.88
289.14,332.81,275.38,4.89
289.13,332.96,275.44,4.91
289.13,333.12,275.49,4.93
289.13,333.27,275.55,4.96
289.12,333.44,275.61,5.00
289.12,333.60,275.67,5.04
289.11,333.77,275.73,5.08
289.10,333.94,275.79,5.13
289.10,334.11,275.85,5.18
289.09,334.28,275.90,5.23
289.08,334.44,275.96,5.28
289.07,334.59,276.01,5.33
289.05,334.74,276.06,5.38
289.04,334.88,276.11,5.43
289.02,335.01,276.15,5.47
289.00,335.12,276.19,5.51
288.98,335.23,276.23,5.55
288.96,335.32,276.26,5.58
288.94,335.40,276.29,5.61
288.92,335.46,276.32,5.63
288.90,335.52,276.34,5.65
288.88,335.57,276.36,5.66
288.86,335.61,276.38,5.68
288.84,335.65,276.39,5.68
288.83,335.67,276.40,5.68
288.81,335.69,276.40,5.68
288.80,335.70,276.41,5.68
288.79,335.71,276.41,5.67
