input_id,ror_id
initiat conflict related trauma,"['https://ror.org/01qpg9817', 'https://ror.org/05jh6j253', 'https://ror.org/02k6gb421', 'https://ror.org/03ve5gp11', 'https://ror.org/000ygtd83', 'https://ror.org/02jpqrb52', 'https://ror.org/04883bn66', 'https://ror.org/02gxtdy09', 'https://ror.org/03z50sg96', 'https://ror.org/0022h3p69', 'https://ror.org/008wejk32', 'https://ror.org/01bhvb147', 'https://ror.org/048t93218', 'https://ror.org/05mv95n98', 'https://ror.org/02ch6a529', 'https://ror.org/00ky71f04', 'https://ror.org/039kb9274', 'https://ror.org/01sw43c97', 'https://ror.org/053cfm252', 'https://ror.org/00ksjkj95']"
univ uster,"['https://ror.org/04rfs1719', 'https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00pw0pp06', 'https://ror.org/00xagtd33', 'https://ror.org/04sx5hw70']"
quarto collect,[]
whsct,[]
omagh enterprise ctr,"['https://ror.org/016nn6y69', 'https://ror.org/0502kph39', 'https://ror.org/01bkx5q50', 'https://ror.org/03rkqvk58', 'https://ror.org/01e15cb45', 'https://ror.org/023z51242', 'https://ror.org/0381ha386', 'https://ror.org/015yt6k87', 'https://ror.org/00ck9ex56', 'https://ror.org/00qjps318', 'https://ror.org/01bahfb02', 'https://ror.org/02z36x226', 'https://ror.org/04wgpdw48', 'https://ror.org/02sfn4p13', 'https://ror.org/03xr77151', 'https://ror.org/00yyvga88', 'https://ror.org/05b7yq612', 'https://ror.org/020kx6615', 'https://ror.org/01zjcq634', 'https://ror.org/01t4e0y16']"
agri food & biosci inst northern ireland fisherie,"['https://ror.org/036br4307', 'https://ror.org/0363pts49', 'https://ror.org/02s7j7z43', 'https://ror.org/00r2p7t19', 'https://ror.org/01dwc1797', 'https://ror.org/01xgj3b22', 'https://ror.org/00qnrsq87', 'https://ror.org/011kc9d11', 'https://ror.org/05c5y5q11', 'https://ror.org/05nnsek89', 'https://ror.org/051dzs374', 'https://ror.org/00f8adc72', 'https://ror.org/057dddr91', 'https://ror.org/044y4ky78', 'https://ror.org/051r7gk37', 'https://ror.org/03nqb0t90', 'https://ror.org/05s8kep84', 'https://ror.org/00qvjvf51', 'https://ror.org/030ykd126', 'https://ror.org/046qxha37']"
craigavon area hosp,"['https://ror.org/03cngf009', 'https://ror.org/01r3rjz42', 'https://ror.org/00b9tqm17', 'https://ror.org/00wvyk770', 'https://ror.org/01a53yy36', 'https://ror.org/04n7g4f11', 'https://ror.org/05njab859', 'https://ror.org/01sqn6v38', 'https://ror.org/05ybwtt56', 'https://ror.org/046581250', 'https://ror.org/03v4rcp75', 'https://ror.org/02f8z2f57', 'https://ror.org/03tmsgc53', 'https://ror.org/050dcex74', 'https://ror.org/02zb85s41', 'https://ror.org/05xxmnm27', 'https://ror.org/05hzdqf47', 'https://ror.org/005t72d47', 'https://ror.org/001fszg24', 'https://ror.org/04d5j6d22']"
northern hlth & social care trust,"['https://ror.org/01bgbk171', 'https://ror.org/00zmwwm29', 'https://ror.org/00sb42p15', 'https://ror.org/02tdmfk69', 'https://ror.org/02fjtnt35', 'https://ror.org/05w2bg876', 'https://ror.org/03jf1cp95', 'https://ror.org/05w9ckg77', 'https://ror.org/05cn4v910', 'https://ror.org/037a3hd22', 'https://ror.org/03vtyzs10', 'https://ror.org/0381np041', 'https://ror.org/05pdk8j26', 'https://ror.org/00z9m6b57', 'https://ror.org/02g0sqt82', 'https://ror.org/01kwnqg78', 'https://ror.org/05ts0bd12', 'https://ror.org/04qbg9n81', 'https://ror.org/05t4ef339', 'https://ror.org/020jcq616']"
belfast hsc trust,"['https://ror.org/0419bgt07', 'https://ror.org/0065kgn45', 'https://ror.org/05pr37258', 'https://ror.org/00rzpns50', 'https://ror.org/03swwwm05', 'https://ror.org/01mahh263', 'https://ror.org/02rc09k84', 'https://ror.org/02r581p42', 'https://ror.org/03vzfth13', 'https://ror.org/00e477a69', 'https://ror.org/03n4e9s45', 'https://ror.org/02tdmfk69', 'https://ror.org/03rq50d77', 'https://ror.org/01p0a2d88', 'https://ror.org/02c2anw65', 'https://ror.org/02zw2vm28', 'https://ror.org/02z5b5082', 'https://ror.org/02405mj67', 'https://ror.org/003kr8v19', 'https://ror.org/00c5bvm83']"
sch mech & aerosp engn,"['https://ror.org/03tgvv724', 'https://ror.org/047an3241', 'https://ror.org/03qjsrb10', 'https://ror.org/0390t1205', 'https://ror.org/02akzdv37']"
marie curie hosp,"['https://ror.org/02aqv1x10', 'https://ror.org/03ayjfd71', 'https://ror.org/03syqx014', 'https://ror.org/04t23pb41', 'https://ror.org/02en5vm52', 'https://ror.org/00ke0d331', 'https://ror.org/00d2v8j14', 'https://ror.org/055ss7a31', 'https://ror.org/04t0gwh46', 'https://ror.org/03fvnza37', 'https://ror.org/02ndr3r66', 'https://ror.org/05mnyyy56', 'https://ror.org/00ajvsd91', 'https://ror.org/03qfyer56', 'https://ror.org/01hv94n30', 'https://ror.org/02ggbdh30', 'https://ror.org/029gxzx35', 'https://ror.org/018g1zw27', 'https://ror.org/02wvbw668', 'https://ror.org/04k8a6441']"
univ ulster magee,"['https://ror.org/01yp9g959', 'https://ror.org/04pmdg365', 'https://ror.org/02r0wp596', 'https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/02c1c4p76', 'https://ror.org/01fbdn283', 'https://ror.org/00pw0pp06', 'https://ror.org/00rnw4e09', 'https://ror.org/03w60e920', 'https://ror.org/00xagtd33', 'https://ror.org/04sx5hw70']"
univ glasgow,"['https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00pw0pp06', 'https://ror.org/00655dk85', 'https://ror.org/00vtgdb53', 'https://ror.org/04d8yvw59', 'https://ror.org/02sffrq32', 'https://ror.org/03dvm1235', 'https://ror.org/04v62ha11', 'https://ror.org/00bjck208', 'https://ror.org/03cjp2c87', 'https://ror.org/025xcha17', 'https://ror.org/059zjse65', 'https://ror.org/01fkztr60', 'https://ror.org/0403kv531', 'https://ror.org/04d95rj19', 'https://ror.org/00xagtd33', 'https://ror.org/053eyjs84', 'https://ror.org/05bsra506', 'https://ror.org/05jzgzx91']"
heriot watt univ,"['https://ror.org/04mghma93', 'https://ror.org/0059w0420', 'https://ror.org/058tx1a56', 'https://ror.org/03mq68c95', 'https://ror.org/02kzqn938', 'https://ror.org/00pw0pp06', 'https://ror.org/00xagtd33', 'https://ror.org/04sx5hw70']"
natl trust scotland,"['https://ror.org/057stj941', 'https://ror.org/03qgkkv45', 'https://ror.org/00ev71s96', 'https://ror.org/016nc1s82', 'https://ror.org/02r41bx44', 'https://ror.org/05yapj268', 'https://ror.org/03z7s4z65', 'https://ror.org/00r7q8k52', 'https://ror.org/037866t57', 'https://ror.org/05abkk781', 'https://ror.org/05pms6260', 'https://ror.org/00x43vj55', 'https://ror.org/02jcwf181', 'https://ror.org/05b56f310', 'https://ror.org/04za2st18', 'https://ror.org/02kh2f959', 'https://ror.org/00dfrzy25', 'https://ror.org/02vaajx27', 'https://ror.org/05bxaer12', 'https://ror.org/05rf93e76']"
